m72-built-ins-JSON-parse-15.12.1.1-g6-4.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected f got  (JSON.parse('"\f"'))
m72-built-ins-NaN-S15.1.1.1_A2_T2.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.notSameValue: expected not to be boolean (The value of typeof(NaN) is not "boolean")
m72-built-ins-NaN-S15.1.1.1_A3_T2.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected false got true (The value of `delete NaN` is expected to be false)
m72-built-ins-Number-15.7.3-1.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected true got false (Function.prototype.isPrototypeOf(Number))
m72-built-ins-Number-15.7.3-2.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [object Object] got null (p)
m72-built-ins-Number-15.7.4-1.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [object Number] got [object Object] (s)
m72-built-ins-Number-S15.7.1.1_A2.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected 0 got NaN (Number() must return 0)
m72-built-ins-Number-S15.7.2.1_A3.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected 0 got NaN (x2.valueOf() must return 0)
m72-built-ins-Number-S15.7.2.1_A4.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [object Number] got [object Object] (obj.toString() must return "[object Number]")
m72-built-ins-Number-S8.12.8_A3.js	Some(1	) 正向用例失败 vm_rc=Some(1): [object Object]
m72-built-ins-Number-S8.12.8_A4.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected true got false (The result of evaluating (e instanceof TypeError) is expected to be true)
m72-built-ins-Number-S9.1_A1_T1.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected 1 got NaN (Number({valueOf: function() {return "1"}, toString: function() {return 0}}) must return 1)
m72-built-ins-Number-S9.3.1_A2.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected 0 got NaN (Number("f") must return 0)
m72-built-ins-Object-S15.2.1.1_A2_T10.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected 1,2,3,4 got [object Object] (The value of n_obj is expected to equal the value of arr)
m72-built-ins-Object-S15.2.1.1_A2_T11.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [function Function] got [function Function] (The value of n_obj.constructor is expected to equal the value of Function)
m72-built-ins-Object-S15.2.1.1_A2_T5.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [function Function] got [function Function] (The value of obj.constructor is expected to equal the value of Number)
m72-built-ins-Object-S15.2.1.1_A2_T8.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [function Function] got [object Object] (The value of n_obj is expected to equal the value of func)
m72-built-ins-Object-S15.2.1.1_A2_T9.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [function Function] got [object Object] (The value of n_obj is expected to equal the value of func)
m72-built-ins-Object-S15.2.2.1_A2_T1.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [object Object] got [object Object] (The value of n_obj is expected to equal the value of obj)
m72-built-ins-Object-S15.2.2.1_A2_T2.js	Some(1	) 正向用例失败 vm_rc=Some(1): Error: assert.sameValue: expected [function Function] got [object Object] (The value of n_obj is expected to equal the value of func)
